Codi;nom_especie
001;Heberdenia bahamensis
002;Amelanchier ovalis 
003;Frangula alnus 
004;Rhamnus alaternus 
005;Euonymus europaeus
006;Myrtus communis 
007;Acacia spp. 
008;Phillyrea latifolia 
009;Cornus sanguinea 
010;Sin asignar 
011;Ailanthus altissima 
012;Malus sylvestris 
013;Celtis australis
014;Taxus baccata 
015;Crataegus
016;Pyrus spp. 
017;Cedrus atlantica
018;Chamaecyparis lawsoniana 
019;Otras coníferas 
020;Pinos 
021;Pinus sylvestris
022;Pinus uncinata 
023;Pinus pinea 
024;Pinus halepensis
025;Pinus nigra 
026;Pinus pinaster 
027;Pinus canariensis
028;Pinus radiata 
029;Otros pinos 
030;Mezcla de coníferas 
031;Abies alba 
032;Abies pinsapo
033;Picea abies 
034;Pseudotsuga menziesii 
035;Larix spp. 
036;Cupressus sempervirens 
037;Juniperus communis 
038;Juniperus thurifera 
039;Juniperus phoenicea 
040;Quercus Quercus
041;Quercus robur
042;Quercus petraea 
043;Quercus pyrenaica 
044;Quercus faginea 
045;Quercus ilex 
046;Quercus suber 
047;Quercus canariensis
048;Quercus rubra
049;Otros quercus
050;Mezcla de árboles de ribera 
051;Populus alba
052;Populus tremula
053;Tamarix spp.
054;Alnus glutinosa
055;Fraxinus angustifolia 
056;Ulmus minor 
057;Salix spp.
058;Populus nigra
059;Otros árboles ripícolas
060;Mezcla de eucaliptos
061;Eucalyptus globulus
062;Eucalyptus camaldulensis 
063;Otros eucaliptos
064;Eucalyptus nitens
065;Ilex aquifolium
066;Olea europaea
067;Ceratonia siliqua 
068;Arbutus unedo
069;Phoenix spp. 
070;Mezcla de frondosas de
071;Fagus sylvatica 
072;Castanea sativa
073;Betula spp. 
074;Corylus avellana 
075;Juglans regia
076;Acer campestre
077;Tilia spp.
078;Sorbus spp.
079;Platanus hispanica
080;Laurisilva Laurisilva
081;Myrica faya
082;Ilex canariensis
083;Erica arborea
084;Persea indica
085;Sideroxylon marmulano
086;Picconia excelsa
087;Ocotea phoetens
088;Apollonias barbujana
089;Otras laurisilvas
090;Mezcla de pequeñas
091;Buxus sempervirens 
092;Robinia pseudacacia
093;Pistacia terebinthus 
094;Laurus nobilis
095;Prunus spp. 
096;Rhus coriaria
097;Sambucus nigra
098;Carpinus betulus
099;Otras frondosas
207;Acacia melanoxylon
215;Crataegus monogyna
217;Cedrus deodara
219;Tetraclinis articulataa
235;Larix decidua
236;Cupressus arizonica
237;Juniperus oxycedrus
238;Juniperus turbinata
239;Juniperus sabina
243;Quercus pubescens
244;Quercus lusitanica
253;Tamarix canariensis
255;Fraxinus excelsior
256;Ulmus glabra
257;Salix alba
258;Populus x canadensis
264;Eucalyptus viminalis
268;Arbutus canariensis
273;Betula alba
275;Juglans nigra
276;Acer monspessulanum
277;Tilia cordata
278;Sorbus aria
279;Platanus orientalis
282;Ilex platyphylla
283;Erica scoparia
289;Pleiomeris canariensis
291;Buxus balearica
292;Sophora japonica 
293;Pistacia atlantica
294;Laurus azorica
295;Prunus spinosa
297;Sambucus racemosa
299;Ficus carica 
307;Acacia dealbata 
315;Crataegus laevigata
317;Cedrus libani
319;Thuja spp. 
335;Larix leptolepis 
336;Cupressus lusitanica 
337;Juniperus cedrus
355;Fraxinus ornus
356;Ulmus pumila
357;Salix atrocinerea
364;Eucalyptus gomphocephalus 
369;Chamaerops humilis
373;Betula pendula
376;Acer negundo
377;Tilia platyphyllos
378;Sorbus aucuparia
389;Rhamnus glandulosa
392;Gleditsia triacanthos
395;Prunus avium
399;Morus spp.
415;Crataegus lacinata
435;Larix x eurolepis
436;Cupressus macrocarpa
457;Salix babylonica
469;Phoenix canariensis
476;Acer opalus
478;Sorbus domestica
489;Visnea mocanera
495;Prunus lusitanica
499;Morus alba
515;Crataegus azarolus
557;Salix cantabrica
569;Dracaena drago
576;Acer pseudoplatanus
578;Sorbus torminalis
595;Prunus padus
599;Morus nigra
657;Salix caprea
676;Acer platanoides
678;Sorbus latifolia
757;Salix elaeagnos
778;Sorbus chamaemespilus
857;Salix fragilis
858;Salix canariensis
917;Cedrus spp.
936;Cupressus spp.
937;Juniperus spp.
955;Fraxinus spp.
956;Ulmus spp.
957;Salix purpurea
975;Juglans spp.
976;Acer spp.
997;Sambucus spp.
